audio_file_name,Submitted Audio Link,Question,Human Transcription,Come,on.,We,can,do,it,together.,Notes
grade1_profile31203_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1gNIIRCu66cFoUycmnYbuXQfjAYlPGC8v/view?usp=drivesdk,Come on. We can do it  together.,Come on. We can do it together.,2,1,2,2,2,2,2,
grade1_profile28509_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1Dz5ard096OgvY8kmX8KGYzf4ytkl3KCf/view?usp=drivesdk,Come on. We can do it  together.,Come on. We can do it to gather.,1,2,2,2,2,2,1,
grade1_profile28473_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1kr28nb-sTADYr0TRJHas1rNnLDQEstws/view?usp=drivesdk,Come on. We can do it  together.,Come on on. We can do it together.,2,2,2,2,2,2,2,
grade1_profile31207_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1lHO3Tc8Vijh4FWeqFYaaSokb7gSKVt1E/view?usp=drivesdk,Come on. We can do it  together.,Come on. We can do it to,2,2,2,2,2,2,0,
grade1_profile28344_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1YKfDBUpbHKgZY6LK28r8VkrY0F_YmoFt/view?usp=drivesdk,Come on. We can do it  together.,Come on. We can do it together.,2,2,2,2,2,2,2,
grade1_profile28352_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1JrmIohQ5y-dbBcsvcsh_qYBtKtVv7Klp/view?usp=drivesdk,Come on. We can do it  together.,Come on. We can do it together.,2,2,2,2,2,2,1,
grade1_profile28450_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1brY9FsGH857YBgXuV481eV8GEvztaWlM/view?usp=drivesdk,Come on. We can do it  together.,Come on. We can do it together.,2,2,2,2,2,2,2,Parent speaking
grade1_profile30586_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1oklEnb6Bz1HU2UflEANBcj5Hh5ureqZE/view?usp=drivesdk,Come on. We can do it  together.,,,,,,,,,Mother and child both speaking word by word.
grade1_profile28509_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1xzlYojZspq99r9AvTOBPPpdjELO5r_3w/view?usp=drivesdk,Come on. We can do it  together.,Come on. We can do it together.,2,2,2,1,2,2,1,
grade1_profile28359_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1QFyVCwzoY7mY-I5ovPgrAmQbh8NCL2P-/view?usp=drivesdk,Come on. We can do it  together.,Can on we can,0,2,2,1,0,0,0,
grade1_profile30481_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1osMa5CZv33M8jRM7fo_5iSr732CZivon/view?usp=drivesdk,Come on. We can do it  together.,Come on Win can do it together.,2,2,0,2,2,2,2,Mother and child both speaking word by word.
grade1_profile28362_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1zZpYhMLsTyRuTo1AxLzrLb7XaOGNlqNv/view?usp=drivesdk,Come on. We can do it  together.,Come on. We can do it together.,2,2,2,2,2,2,2,
grade1_profile30575_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1tlDUxwnRuXZkGw12IE818pgVRFtazmSx/view?usp=drivesdk,Come on. We can do it  together.,We can do it together.,0,0,2,2,2,2,1,
grade1_profile28451_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1yFV9CoFQN3lU-90pmcLa2XUTWzHUSMzy/view?usp=drivesdk,Come on. We can do it  together.,Come on. We can do it together.,2,2,2,2,2,2,2,
grade1_profile28371_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1Okj7OpDwvehfmH6qsyTQDjllIrrZ9LXg/view?usp=drivesdk,Come on. We can do it  together.,Come on Come on on come on on we can do it gather,2,2,2,2,2,2,1,Father giving instructions in background to see the image as child is struggling to remember the sentance
grade1_profile30589_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1gmGpKWKdZqaib891NBMEkgoVhBsDmneR/view?usp=drivesdk,Come on. We can do it  together.,Come on. We can do it together.,2,2,2,2,2,2,2,
